,uid,domain_id,representative_status,hierarchy_identifier,pdb_identifier,chain_identifier,residue_number,seq_id,accession number,architecture,X_group,H_group,T_group,F_group,domain_assembly_status,non_polymer_entities,reciprocal_of_occupancy_ratio,topology,OFHT,number_of_jumps,number_of_frustrated_alpha-beta-units_pairing
10,000135542,e3iy9D1,AUTO_NONREP,7559.1.1.1,3iy9,D,D:680-854,D:1-175,NO_UNP,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Ribosomal protein L4""",Ribosomal_L4,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0526315789473684,213+++,3.6175585804726142,1.0,0.0
11,001241247,e4infB2,AUTO_NONREP,2002.1.1.14,4inf,B,"B:3-35,B:55-351","B:25-57,B:77-373",Q2GA79,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",Amidohydro_2,NOT_DOMAIN_ASSEMBLY,"CA,CL,GOL,OXD",0.0001990445859872,123+++,3.91509748024028,0.0,0.0
12,001172309,e4a0oF8,AUTO_NONREP,2487.1.1.35,4a0o,F,"F:197-232,F:258-341","F:197-232,F:258-341",Q3ZBH0,a/b three-layered sandwiches,"""The ""swivelling"" beta/beta/alpha domains""","""NO_H_NAME""","""The ""swivelling"" beta/beta/alpha domain""",Cpn60_TCP1_2nd,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0010504201680672,123+++,3.91509748024028,0.0,0.0
13,001310613,e4c5yA1,MANUAL_REP,2002.1.1.12,4c5y,A,A:106-423,A:64-381,A2R2V4,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",Amidohydro_1_N,NOT_DOMAIN_ASSEMBLY,ZN,0.0001098177026136,123+++,3.91509748024028,0.0,0.0
14,000143099,e3rhgA1,AUTO_NONREP,2002.1.1.161,3rhg,A,"A:1-34,A:59-364","A:1-34,A:59-343",B4EXV8,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",PTE,NOT_DOMAIN_ASSEMBLY,"BEZ,CAC,SO4,UNL,ZN",0.0002359046945034,123+++,3.91509748024028,0.0,0.0
15,000100135,e1b6sA3,AUTO_NONREP,2003.1.10.15,1b6s,A,A:1-78,A:1-78,P09029,a/b three-layered sandwiches,"""Rossmann-like""","""Rossmann-related""","""PreATP-grasp domain""",2-Hacid_dh_C_2,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0003301419610432,213+++,3.6175585804726142,1.0,0.0
16,001031018,e3bswA3,MANUAL_REP,2003.1.8.11,3bsw,A,A:3-75,A:6-78,Q0P9D1,a/b three-layered sandwiches,"""Rossmann-like""","""Rossmann-related""","""MurCD/PglD N-terminal domain-like""",NeuD_NnaD_1,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0042918454935622,213+++,3.6175585804726142,1.0,0.0
17,000117758,e1gn1C1,AUTO_NONREP,2487.1.1.35,1gn1,C,"C:211-247,C:273-375","C:3-39,C:65-167",P80318,a/b three-layered sandwiches,"""The ""swivelling"" beta/beta/alpha domains""","""NO_H_NAME""","""The ""swivelling"" beta/beta/alpha domain""",Cpn60_TCP1_2nd,NOT_DOMAIN_ASSEMBLY,CA,0.0010504201680672,123+++,3.91509748024028,0.0,0.0
18,001521589,e4mncA1,AUTO_NONREP,7523.1.1.114,4mnc,A,"A:28-145,A:233-332","A:28-145,A:233-325",Q122C7,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Periplasmic binding protein-like II""",UNK_F_TYPE,NOT_DOMAIN_ASSEMBLY,"173,SO4",0.0144927536231884,213+++,3.6175585804726142,1.0,0.0
19,000975390,e3uovB1,AUTO_NONREP,2003.1.2.282,3uov,B,"B:1-133,B:374-536","B:1-133,B:374-536",H3JQW0,a/b three-layered sandwiches,"""Rossmann-like""","""Rossmann-related""","""FAD/NAD(P)-binding domain""",FMO-like_1st,NOT_DOMAIN_ASSEMBLY,FAD,0.0004768717215069,123+++,3.91509748024028,0.0,0.0
20,000010948,e2d00A1,MANUAL_REP,2007.24.1.1,2d00,A,A:6-109,A:6-109,P74903,a/b three-layered sandwiches,"""Flavodoxin-like""","""NO_H_NAME""","""AtpF-like""",ATP-synt_F,NOT_DOMAIN_ASSEMBLY,CA,0.1428571428571428,213+++,3.6175585804726142,1.0,0.0
21,001172231,e4a13P11,AUTO_NONREP,2487.1.1.35,4a13,P,"P:197-229,P:254-341","P:197-229,P:254-341",Q3ZBH0,a/b three-layered sandwiches,"""The ""swivelling"" beta/beta/alpha domains""","""NO_H_NAME""","""The ""swivelling"" beta/beta/alpha domain""",Cpn60_TCP1_2nd,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0010504201680672,123+++,3.91509748024028,0.0,0.0
22,001663569,e4x6gB3,AUTO_NONREP,7523.1.1.41,4x6g,B,"B:80-164,B:282-301","B:86-170,B:288-307",Q9HTL4,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Periplasmic binding protein-like II""",LysR_substrate_1,NOT_DOMAIN_ASSEMBLY,"GOL,PEO",0.0005367686527106,213+++,3.6175585804726142,1.0,0.0
23,000309831,e2hwyB1,AUTO_NONREP,2006.1.4.5,2hwy,B,B:855-1013,B:3-161,Q9UPR3,a/b three-layered sandwiches,"""HAD domain-like""","""HAD domain-related""","""PIN domain-like""",PIN_4,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0056818181818181,123+++,3.91509748024028,0.0,0.0
24,000167275,e3c97A1,AUTO_NONREP,2007.1.3.29,3c97,A,A:552-671,A:10-129,Q2U940,a/b three-layered sandwiches,"""Flavodoxin-like""","""Class I glutamine amidotransferase-like""","""CheY-like""",Response_reg,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0001100594320933,213+++,3.6175585804726142,1.0,0.0
25,000144392,e3s4tA1,AUTO_NONREP,2002.1.1.14,3s4t,A,A:1-332,A:1-326,Q12BV1,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",Amidohydro_2,NOT_DOMAIN_ASSEMBLY,"ACT,EPE,SO4",0.0001990445859872,123+++,3.91509748024028,0.0,0.0
26,001144738,e2wmiA2,MANUAL_REP,3823.1.1.2,2wmi,A,A:744-838,A:347-439,NO_UNP,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""a/b domain in family 98 glycoside hydrolases""",Glyco_hydro_98C_N,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.25,213+++,3.6175585804726142,1.0,0.0
27,000143726,e3p9dC3,AUTO_NONREP,2487.1.1.35,3p9d,C,"C:221-370,C:1054-1056","C:221-370,C:428-430",NO_UNP,a/b three-layered sandwiches,"""The ""swivelling"" beta/beta/alpha domains""","""NO_H_NAME""","""The ""swivelling"" beta/beta/alpha domain""",Cpn60_TCP1_2nd,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0010504201680672,123+++,3.91509748024028,0.0,0.0
28,000010871,e1tqyA1,MANUAL_REP,7581.1.1.5,1tqy,A,A:3-218,A:3-218,Q02059,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Thiolase-like""",ketoacyl-synt,NOT_DOMAIN_ASSEMBLY,ACE,0.0017094017094017,213+++,3.6175585804726142,1.0,0.0
29,001663575,e4x6gF3,AUTO_NONREP,7523.1.1.41,4x6g,F,"F:80-166,F:284-307","F:86-172,F:290-313",Q9HTL4,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Periplasmic binding protein-like II""",LysR_substrate_1,NOT_DOMAIN_ASSEMBLY,"GOL,PEO",0.0005367686527106,213+++,3.6175585804726142,1.0,0.0
30,000139164,e3msrA1,AUTO_NONREP,2002.1.1.161,3msr,A,A:1-353,A:4-355,Q4A724,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",PTE,NOT_DOMAIN_ASSEMBLY,"GOL,PO4",0.0002359046945034,123+++,3.91509748024028,0.0,0.0
31,000155006,e4infA1,AUTO_NONREP,2002.1.1.14,4inf,A,A:1-351,A:23-373,Q2GA79,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",Amidohydro_2,NOT_DOMAIN_ASSEMBLY,"CA,CL,OXD",0.0001990445859872,123+++,3.91509748024028,0.0,0.0
32,000144565,e3sz3A1,AUTO_NONREP,2005.1.1.150,3sz3,A,A:-2-338,A:1-341,Q9KNV7,a/b three-layered sandwiches,"""HUP domain-like""","""NO_H_NAME""","""HUP domains""",tRNA-synt_1b,NOT_DOMAIN_ASSEMBLY,"GOL,TRP",0.0042735042735042,123+++,3.91509748024028,0.0,0.0
33,000145909,e3v4zA2,AUTO_NONREP,2003.1.10.4,3v4z,A,A:2-96,A:5-99,Q8ZIE7,a/b three-layered sandwiches,"""Rossmann-like""","""Rossmann-related""","""PreATP-grasp domain""",Dala_Dala_lig_N,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0002258866049243,213+++,3.6175585804726142,1.0,0.0
34,000139328,e3k30A3,AUTO_NONREP,2003.1.3.9,3k30,A,"A:344-476,A:613-690","A:344-476,A:613-690",Q6IWJ5,a/b three-layered sandwiches,"""Rossmann-like""","""Rossmann-related""","""Nucleotide-binding domain""",FAD_binding_3_1st,NOT_DOMAIN_ASSEMBLY,"ADP,FMN,SF4",0.0014306151645207,123+++,3.91509748024028,0.0,0.0
35,000138526,e3iygG3,AUTO_NONREP,2487.1.1.35,3iyg,G,G:204-357,G:204-357,Q3T0K2,a/b three-layered sandwiches,"""The ""swivelling"" beta/beta/alpha domains""","""NO_H_NAME""","""The ""swivelling"" beta/beta/alpha domain""",Cpn60_TCP1_2nd,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0010504201680672,123+++,3.91509748024028,0.0,0.0
36,001144801,e4o6dB1,MANUAL_REP,3828.1.1.1,4o6d,B,B:1-177,B:26-202,Q9Q6P4,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Flavivirus non-structural protein 1 (NS1) a/b domain""",Flavi_NS1_N,NOT_DOMAIN_ASSEMBLY,"NAG,OXN",0.25,132+++,0.5129080882516959,1.0,1.0
37,001711358,e3rj8A2,AUTO_NONREP,217.1.1.4,3rj8,A,A:1-207,A:1-207,I1SB12,a+b complex topology,"""FAD-binding domain-like""","""NO_H_NAME""","""FAD-binding domain""",FAD_binding_4,NOT_DOMAIN_ASSEMBLY,"FAD,K,TRS,ZN",0.0131578947368421,132+++,0.5129080882516959,1.0,1.0
38,000181370,e2ylrA1,AUTO_NONREP,2003.1.2.282,2ylr,A,"A:10-145,A:381-542","A:10-145,A:381-542",Q47PU3,a/b three-layered sandwiches,"""Rossmann-like""","""Rossmann-related""","""FAD/NAD(P)-binding domain""",FMO-like_1st,NOT_DOMAIN_ASSEMBLY,"FAD,NAP",0.0004768717215069,123+++,3.91509748024028,0.0,0.0
39,000139418,e3n2cA2,AUTO_NONREP,2002.1.1.12,3n2c,A,A:58-365,A:60-367,NO_UNP,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",Amidohydro_1_N,NOT_DOMAIN_ASSEMBLY,"LWY,ZN",0.0001098177026136,123+++,3.91509748024028,0.0,0.0
40,000158455,e2c2xA2,AUTO_NONREP,2007.1.6.4,2c2x,A,A:2-121,A:2-121,P9WG81,a/b three-layered sandwiches,"""Flavodoxin-like""","""Class I glutamine amidotransferase-like""","""Aminoacid dehydrogenase-like, N-terminal domain""",THF_DHG_CYH,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0011806375442739,213+++,3.6175585804726142,1.0,0.0
41,001118749,e4n7bA2,AUTO_NONREP,7588.1.1.3,4n7b,A,A:98-194,A:315-411,Q9BJX6,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""NadA-like/4-hydroxy-3-methylbut-2-enyl diphosphate reductase""",LYTB_2nd,NOT_DOMAIN_ASSEMBLY,"F3S,NA,SO4",0.0833333333333333,213+++,3.6175585804726142,1.0,0.0
42,000138447,e3ly0A1,AUTO_NONREP,2002.1.1.149,3ly0,A,"A:0-63,A:88-359","A:6-65,A:90-356",Q3IZQ3,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",Peptidase_M19,NOT_DOMAIN_ASSEMBLY,"LY0,ZN",0.0007077140835102,123+++,3.91509748024028,0.0,0.0
43,001430101,e4v4vB22,AUTO_NONREP,2007.25.1.1,4v4v,B2,B2:68-158,B2:64-154,P0A7L0,a/b three-layered sandwiches,"""Flavodoxin-like""","""NO_H_NAME""","""Rossmann-like domain in Ribosomal protein L1""",Ribosomal_L1_1st,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0384615384615384,213+++,3.6175585804726142,1.0,0.0
44,001428003,e4v42BC1,AUTO_NONREP,2007.25.1.1,4v42,BC,BC:64-155,BC:64-155,P27150,a/b three-layered sandwiches,"""Flavodoxin-like""","""NO_H_NAME""","""Rossmann-like domain in Ribosomal protein L1""",Ribosomal_L1_1st,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0384615384615384,213+++,3.6175585804726142,1.0,0.0
45,000137557,e3l07A2,AUTO_NONREP,2007.1.6.4,3l07,A,A:0-120,A:3-123,Q5NGF3,a/b three-layered sandwiches,"""Flavodoxin-like""","""Class I glutamine amidotransferase-like""","""Aminoacid dehydrogenase-like, N-terminal domain""",THF_DHG_CYH,NOT_DOMAIN_ASSEMBLY,EDO,0.0011806375442739,213+++,3.6175585804726142,1.0,0.0
46,001521269,e3k6xA2,AUTO_NONREP,7523.1.1.54,3k6x,A,"A:13-120,A:293-352","A:29-122,A:295-354",Q8TTZ5,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Periplasmic binding protein-like II""",SBP_bac_11,NOT_DOMAIN_ASSEMBLY,"MOO,SO4",0.0009057971014492,213+++,3.6175585804726142,1.0,0.0
47,000259702,e3j3bz2,AUTO_NONREP,2007.25.1.2,3j3b,z,z:58-153,z:58-153,NO_UNP,a/b three-layered sandwiches,"""Flavodoxin-like""","""NO_H_NAME""","""Rossmann-like domain in Ribosomal protein L1""",Ribosomal_L1_1st_1,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0454545454545454,213+++,3.6175585804726142,1.0,0.0
48,001582551,e3e53A2,AUTO_NONREP,7584.1.1.2,3e53,A,A:4-128,A:24-148,P9WQ59,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Rossmann-like domain in Acetyl-CoA synthetase-like proteins""",AMP-binding_1st,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0065359477124183,213+++,3.6175585804726142,1.0,0.0
49,000009908,e1xpjA1,MANUAL_REP,2006.1.1.29,1xpj,A,A:1-124,A:1-124,Q9KVB4,a/b three-layered sandwiches,"""HAD domain-like""","""HAD domain-related""","""HAD-like""",PNK3P,NOT_DOMAIN_ASSEMBLY,"HG,TLA",0.0020661157024793,123+++,3.91509748024028,0.0,0.0
50,001520280,e4exlB2,AUTO_NONREP,7523.1.1.64,4exl,B,"B:28-107,B:243-265","B:1-80,B:216-238",Q8DPB1,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Periplasmic binding protein-like II""",PBP_like_2_1st_1,NOT_DOMAIN_ASSEMBLY,CL,0.0018115942028985,213+++,3.6175585804726142,1.0,0.0
51,001172216,e4a13L11,AUTO_NONREP,2487.1.1.35,4a13,L,"L:197-230,L:250-341","L:197-230,L:250-341",Q3ZBH0,a/b three-layered sandwiches,"""The ""swivelling"" beta/beta/alpha domains""","""NO_H_NAME""","""The ""swivelling"" beta/beta/alpha domain""",Cpn60_TCP1_2nd,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0010504201680672,123+++,3.91509748024028,0.0,0.0
52,001492380,e4x0eA1,AUTO_NONREP,2005.1.1.218,4x0e,A,A:5-199,A:9-199,P9WJJ5,a/b three-layered sandwiches,"""HUP domain-like""","""NO_H_NAME""","""HUP domains""",CTP_transf_like,NOT_DOMAIN_ASSEMBLY,MES,0.0014245014245014,123+++,3.91509748024028,0.0,0.0
53,001492380,e4x0eA1,AUTO_NONREP,2005.1.1.218,4x0e,A,A:5-199,A:9-199,P9WJJ5,a/b three-layered sandwiches,"""HUP domain-like""","""NO_H_NAME""","""HUP domains""",CTP_transf_like,NOT_DOMAIN_ASSEMBLY,MES,0.0014245014245014,123+++,3.91509748024028,0.0,0.0
54,000008933,e1yixA1,MANUAL_REP,2002.1.1.14,1yix,A,A:1-265,A:1-265,P0AFQ7,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",Amidohydro_2,NOT_DOMAIN_ASSEMBLY,ZN,0.0001990445859872,123+++,3.91509748024028,0.0,0.0
55,001309203,e2wmjB3,AUTO_NONREP,3823.1.1.2,2wmj,B,B:744-828,B:347-429,NO_UNP,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""a/b domain in family 98 glycoside hydrolases""",Glyco_hydro_98C_N,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.25,213+++,3.6175585804726142,1.0,0.0
56,000011412,e1gmlA1,MANUAL_REP,2487.1.1.35,1gml,A,A:211-379,A:3-171,P80318,a/b three-layered sandwiches,"""The ""swivelling"" beta/beta/alpha domains""","""NO_H_NAME""","""The ""swivelling"" beta/beta/alpha domain""",Cpn60_TCP1_2nd,NOT_DOMAIN_ASSEMBLY,GOL,0.0010504201680672,123+++,3.91509748024028,0.0,0.0
57,001310611,e4upcA2,MANUAL_REP,2487.1.1.32,4upc,A,"A:42-136,A:169-221,A:652-662","A:42-136,A:169-214,A:645-655",Q92542,a/b three-layered sandwiches,"""The ""swivelling"" beta/beta/alpha domains""","""NO_H_NAME""","""The ""swivelling"" beta/beta/alpha domain""",M28_Nicastrin,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0196078431372549,123+++,3.91509748024028,0.0,0.0
58,000117910,e1x1wE1,AUTO_NONREP,2489.1.1.1,1x1w,E,E:1-89,E:2-90,P11540,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Barstar (barnase inhibitor)""",Barstar,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0769230769230769,123+++,3.91509748024028,0.0,0.0
59,001240138,e1xrtB4,AUTO_NONREP,2002.1.1.1050,1xrt,B,"B:56-187,B:208-262,B:287-354","B:101-232,B:253-307,B:332-399",O66990,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",DHOase,NOT_DOMAIN_ASSEMBLY,ZN,0.0002274795268425,123+++,3.91509748024028,0.0,0.0
60,001442876,e4v8rAG3,AUTO_NONREP,2487.1.1.35,4v8r,AG,AG:221-371,AG:221-371,P39077,a/b three-layered sandwiches,"""The ""swivelling"" beta/beta/alpha domains""","""NO_H_NAME""","""The ""swivelling"" beta/beta/alpha domain""",Cpn60_TCP1_2nd,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0010504201680672,123+++,3.91509748024028,0.0,0.0
61,000117906,e1b2sE1,AUTO_NONREP,2489.1.1.1,1b2s,E,E:2-90,E:2-90,P11540,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Barstar (barnase inhibitor)""",Barstar,NOT_DOMAIN_ASSEMBLY,SO4,0.0769230769230769,123+++,3.91509748024028,0.0,0.0
62,000095841,e2gwgB1,AUTO_NONREP,2002.1.1.14,2gwg,B,B:1-342,B:1-342,Q6N0R4,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",Amidohydro_2,NOT_DOMAIN_ASSEMBLY,ZN,0.0001990445859872,123+++,3.91509748024028,0.0,0.0
63,001578476,e3wv5A3,AUTO_NONREP,7584.1.1.2,3wv5,A,A:23-145,A:64-161,Q76KY2,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Rossmann-like domain in Acetyl-CoA synthetase-like proteins""",AMP-binding_1st,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0065359477124183,213+++,3.6175585804726142,1.0,0.0
64,001204295,e2zixA1,AUTO_NONREP,2008.1.1.25,2zix,A,A:259-475,A:15-231,Q96NY9,a/b three-layered sandwiches,"""Restriction endonuclease-like""","""NO_H_NAME""","""Restriction endonuclease-like""",ERCC4,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0013368983957219,123+++,3.91509748024028,0.0,0.0
65,000008892,e1fcqA1,MANUAL_REP,2002.1.1.92,1fcq,A,A:10-330,A:10-330,Q08169,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",Glyco_hydro_56,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0021231422505307,123+++,3.91509748024028,0.0,0.0
66,001520702,e4h1xA3,AUTO_NONREP,7523.1.1.64,4h1x,A,A:176-270,A:150-244,P0C2M5,a/b three-layered sandwiches,"""NO_X_NAME""","""NO_H_NAME""","""Periplasmic binding protein-like II""",PBP_like_2_1st_1,NOT_DOMAIN_ASSEMBLY,CIT,0.0018115942028985,213+++,3.6175585804726142,1.0,0.0
67,001563550,e4ltyA2,MANUAL_REP,3979.1.1.1,4lty,A,A:277-340,A:291-354,E8Y9D8,a+b four layers,"""NO_X_NAME""","""NO_H_NAME""","""Mre11 nuclease C-terminal domain""",SbcD_C,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,1.0,123+++,3.91509748024028,0.0,0.0
68,000175529,e3iygB2,AUTO_NONREP,2487.1.1.35,3iyg,B,B:202-353,B:202-353,Q3ZBH0,a/b three-layered sandwiches,"""The ""swivelling"" beta/beta/alpha domains""","""NO_H_NAME""","""The ""swivelling"" beta/beta/alpha domain""",Cpn60_TCP1_2nd,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0010504201680672,123+++,3.91509748024028,0.0,0.0
69,000140804,e2xijA2,AUTO_NONREP,2002.1.1.122,2xij,A,A:36-577,A:26-567,P22033,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",MM_CoA_mutase,NOT_DOMAIN_ASSEMBLY,"5AD,B12,BTB,EDO,SO4",0.0012738853503184,123+++,3.91509748024028,0.0,0.0
70,000145100,e4a26A2,AUTO_NONREP,2007.1.6.4,4a26,A,A:3-124,A:5-126,Q4Q9F9,a/b three-layered sandwiches,"""Flavodoxin-like""","""Class I glutamine amidotransferase-like""","""Aminoacid dehydrogenase-like, N-terminal domain""",THF_DHG_CYH,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0011806375442739,213+++,3.6175585804726142,1.0,0.0
71,000010894,e1b0aA2,MANUAL_REP,2007.1.6.4,1b0a,A,A:2-122,A:2-122,P24186,a/b three-layered sandwiches,"""Flavodoxin-like""","""Class I glutamine amidotransferase-like""","""Aminoacid dehydrogenase-like, N-terminal domain""",THF_DHG_CYH,NOT_DOMAIN_ASSEMBLY,NO_LIGANDS_4A,0.0011806375442739,213+++,3.6175585804726142,1.0,0.0
72,000185428,e3nqbA2,MANUAL_REP,2002.1.1.12,3nqb,A,A:86-338,A:89-341,Q7CUX4,a/b barrels,"""TIM beta/alpha-barrel""","""NO_H_NAME""","""TIM barrels""",Amidohydro_1_N,NOT_DOMAIN_ASSEMBLY,MN,0.0001098177026136,123+++,3.91509748024028,0.0,0.0
